Source,Target,Weight
179,8526,4
179,8835,1
179,9470,10
179,10639,1
180,2529,1
180,3298,1
181,1862,1
181,5573,1
181,5575,1
182,10043,1
182,10244,1
183,272,2
183,1901,1
183,2106,5
183,5549,5
183,5875,3
183,6405,5
183,6561,1
183,6648,10
183,8172,2
183,11662,23
184,817,1
184,1900,1
184,3286,1
184,4466,1
184,10735,1
185,11225,1
186,376,1
186,4699,1
187,5956,1
187,8113,1
187,9138,1
187,10460,1
188,8653,2
189,424,1
189,425,20
189,1991,1
189,2071,2
189,2225,1
189,2567,81
189,2747,1
189,2867,30
189,3283,1
189,4208,5
189,4258,1
189,4297,30
189,5489,1
189,6269,1
189,6352,1
189,6436,13
189,6461,1
189,6634,1
189,6988,6
189,7065,1
189,7429,2
189,7559,1
189,7988,1
189,8699,25
189,8777,1
189,9023,3
189,9179,1
189,9323,5
189,9443,2
189,10065,1
189,10571,26
189,10643,1
189,10664,1
189,10771,10
189,11403,12
189,11463,17
189,11489,5
189,11529,3
189,11809,5
190,917,2
190,1384,3
190,3430,3
190,7430,7
191,478,1
191,676,1
191,1238,2
191,2058,4
191,2070,2
191,4605,1
191,4852,1
191,5156,26
191,5485,7
191,5571,1
191,5820,4
191,6162,6
191,6984,1
191,7843,1
191,8704,2
191,9808,4
191,9933,1
191,10190,5
191,10743,2
191,11437,1
192,541,1
192,606,1
192,632,1
192,740,2
192,795,1
192,844,4
192,1625,2
192,1746,1
192,2076,1
192,2124,1
192,2191,3
192,2225,5
192,2358,5
192,2472,1
192,2525,2
192,2567,5
192,2779,1
192,2966,1
192,2967,16
192,3367,2
192,3371,1
192,3586,1
192,3636,9
192,3744,2
192,3749,1
192,3819,1
192,4245,2
192,4258,6
192,4283,11
192,4297,9
192,4319,1
192,4636,2
192,4677,1
192,4678,1
192,4746,1
192,4754,1
192,4820,2
192,4839,1
192,4938,2
192,4946,1
192,4951,3
192,5058,11
192,5155,1
192,5209,8
192,5260,1
192,5261,1
192,5333,8
192,5454,12
192,5674,1
192,5779,21
192,6152,1
192,6268,3
192,6269,109
192,6292,1
192,6305,6
192,6379,7
192,6436,36
192,6631,21
192,6792,1
192,6812,8
192,6898,1
192,6903,26
192,6931,1
192,6943,48
192,7019,1
192,7097,4
192,7251,1
192,7252,4
192,7387,1
192,7403,1
192,7490,1
192,8428,1
192,8541,5
192,8699,9
192,8921,2
192,8962,1
192,9023,44
192,9313,7
192,9323,1
192,9344,2
192,9381,21
192,9654,21
192,9718,14
192,9724,12
192,9744,2
192,10065,2
192,10255,4
192,10409,9
192,10664,2
192,10763,1
192,10771,1
192,10790,29
192,10886,10
192,10973,3
192,11079,1
192,11403,2
192,11510,7
192,11518,2
192,11584,1
192,11593,1
192,11660,1
192,11735,1
192,11840,1
192,12004,1
192,12059,3
192,12277,4
193,3710,7
193,6122,1
194,5773,2
196,7136,2
197,7685,1
197,7922,1
197,10351,3
197,10739,1
197,10743,2
198,5302,1
198,5772,1
199,660,1
199,1770,1
199,2338,1
200,5528,1
200,7472,7
201,2134,1
201,4489,1
201,5832,1
201,8073,1
201,12162,1
201,12180,1
202,5526,2
202,5544,2
202,7778,1
204,5484,1
204,7710,1
204,8722,1
205,5484,1
205,7710,1
205,8722,1
206,4126,2
206,6653,1
206,8096,2
206,8232,2
206,10280,2
207,1543,1
207,1873,1
207,1993,12
207,2793,2
207,2874,22
207,3829,2
207,3956,1
207,4776,1
207,4806,2
207,5033,1
207,5378,2
207,5380,2
207,6436,1
207,6587,5
207,7031,7
207,7065,8
207,9818,1
207,10082,1
207,10371,11
207,10726,1
207,11032,1
207,11148,3
207,11221,1
208,935,2
208,1122,3
208,4019,16
208,4772,7
208,6086,4
208,7207,2
208,7372,1
208,8243,2
208,9293,3
208,10148,29
208,10950,2
208,11717,2
209,6376,1
209,6817,7
209,8736,3
210,2325,1
210,7469,1
211,1430,1
211,4250,1
211,5694,1
213,410,8
214,1399,3
214,2306,1
214,4153,1
214,4154,1
214,6525,3
214,8428,4
214,11589,4
214,12298,1
215,2033,8
215,2347,18
215,4294,1
215,4575,1
215,5706,1
215,8354,3
215,8494,1
215,10084,1
215,10488,1
216,667,1
216,2058,1
217,1334,1
217,1353,30
217,1688,1
217,2780,1
217,3642,51
217,4038,8
217,4389,1
217,4959,8
217,5013,2
217,6044,1
217,6381,2
217,6851,3
217,7140,2
217,7536,5
217,7680,1
217,7737,1
217,8082,3
217,8532,9
217,8617,1
217,8728,1
217,9020,1
217,9472,1
217,10099,1
217,11079,2
217,11142,1
217,11167,8
217,11275,1
217,11434,7
217,12146,1
217,12207,15
217,12278,2
218,340,13
218,448,47
218,453,8
218,942,1
218,988,1
218,1031,2
218,1120,1
218,1233,1
218,1315,2
218,1340,7
218,1437,88
218,1611,1
218,1630,1
218,1667,5
218,1787,2
218,1877,1
218,1909,1
218,2127,57
218,2263,1
218,2367,15
218,2379,12
218,2472,8
218,2703,2
218,2810,9
218,2851,35
218,2943,2
218,2948,2
218,3189,1
218,3320,3
218,3798,1
218,3856,4
218,3966,1
218,3967,1
218,4031,1
218,4137,33
218,4170,1
218,4171,1
218,4441,7
218,4597,1
218,4605,3
218,4832,2
218,4848,1
218,4900,41
218,4953,2
218,5286,1
218,5485,3
218,5650,6
218,5659,1
218,5673,2
218,5818,2
218,5820,1
218,5911,2
218,5948,20
218,5950,1
218,5953,1
218,5977,2
218,6027,1
218,6064,11
218,6065,6
218,6306,6
218,6379,2
218,6522,8
218,6809,2
218,6984,11
218,7048,1
218,7467,2
218,7588,1
218,7614,6
218,7615,1
218,7620,57
218,7648,8
218,7764,4
218,7781,1
218,7867,40
218,7927,9
218,8467,2
218,8704,1
218,8795,1
218,8806,1
218,8860,1
218,8935,4
218,8971,5
218,9134,1
218,9335,3
218,9349,1
218,9442,3
218,9461,4
218,9468,1
218,9490,18
218,9853,1
218,9971,22
218,10078,1
218,10426,1
218,10555,7
218,10618,3
218,10743,40
218,10929,1
218,10961,1
218,11160,45
218,11201,1
218,11277,36
218,11394,11
218,11439,2
218,11614,6
218,11659,1
218,11734,1
