Id,Label,Art_num
520,Izabela Biało,33
521,Łukasz Biało,2
522,Jerzy Białoskórski,11
523,Jan Białowąs,1
524,Wiesław Białowąs,2
525,Rafał Biały,26
526,Andrzej Biborski,34
527,Jakub Bibro,1
528,Łukasz Bibrzycki,8
529,Agnieszka Bieda,126
530,Bogusław Bieda,116
531,Agnieszka Biedrawa,25
532,Wojciech Biedrzycki,2
533,Mariusz Biegaj,2
534,Katarzyna Biegajło,1
535,Jolanta Biegańska,40
536,Bartosz Biegun,1
537,Maria Biegun,0
538,Tomasz Biegun,1
539,Maria Biegun-Żurowska,1
540,Damian Biel,10
541,Karolina Biel,5
542,Magdalena Biel,14
543,Mateusz Biel,3
544,Michał Biel,1
545,Michał Biel,1
546,Mikołaj Biel,1
547,Oliwia Biel,2
548,Piotr Biel,2
549,Ernest Biela,1
550,Sebastian Bielak,4
551,Adam Bielański,1
552,Jan Gustaw Bielański,11
553,Stefan Bielański,3
554,Sylwia Biełaszek,2
555,Maria Bielawka,23
556,Maciej Bielech,1
557,Agnieszka Bielecka,14
558,Marzena Bielecka,58
559,Andrzej Bielecki,47
560,Mateusz Bielecki,1
561,Michał Bielecki,1
562,Przemysław Bielecki,1
563,Sebastian Bielecki,12
564,Paweł Bieleń,3
565,Danuta Bielewicz,70
566,Marek Bielewski,14
567,Sebastian Bielik,9
568,Paweł Bielka,0
569,Barbara Bielowicz,86
570,Andrzej Bień,164
571,Artur Bień,7
572,Tomasz Bień,2
573,Łukasz Bienias,1
574,Sławomir Bieniasz,40
575,Karol Bieniaszewski,4
576,Adam Bieniek,1
577,Agnieszka Bieniek,7
578,Artur Bieniek,26
579,Agnieszka Biernacka,6
580,Edyta Biernacka,20
581,Kamila Biernacka,3
582,Karolina Biernacka,0
583,Jerzy Biernacki,10
584,Szymon Biernacki,1
585,Magdalena Biernat,2
586,Tadeusz Biernat,16
587,Franciszek Bierski,2
588,Jakub Bieryt,0
589,Natalia Bieryt,3
590,Mateusz Biesaga,1
591,Paweł Biesikirski,1
592,Andrzej Biessikirski,67
593,Roman Biessikirski,23
594,Ewelina Bieszczad,2
595,Rafał Bieszczad,4
596,Adrianna Bigaj,7
597,Anna Bigaj,3
598,Szymon Bigaj,2
599,Karol Bijak,1
600,Paweł Bijata,7
601,Dorota Bijok,8
602,Ewelina Bik,8
603,Maciej Bik,66
604,Wojciech Bilan,4
605,Romana Bilińska,8
606,Elżbieta Bilkiewicz,33
607,Aleksandra Bilkiewicz-Kubarek,1
608,Wojciech Bilnik,19
609,Vitaliy Bilovol,5
610,Agnieszka Bilska,2
611,Marta Bilska,10
612,Marta Bińczak,5
613,Jakub Binek,1
614,Wojciech Binek,30
615,Weronika Binkowska,2
616,Izabela Biskup,3
617,Paweł Biskup,1
618,Jacek Biskupski,4
619,Agata Bisping,0
620,Agnieszka Bisztyga,2
621,Barbara Bisztyga,14
622,Kazimierz Bisztyga,1
623,Magdalena Bisztyga-Szklarz,28
624,Adam Bitka,6
625,Patrycja Bizoń,2
626,Leszek Błach,0
627,Izabela Blacha,1
628,Tomasz Stanisław Blacharski,8
629,Andrzej Blachecki,12
630,Grzegorz Blachliński,1
631,Artur Błachowski,6
632,Artur Błachowski,9
633,Jan Błachut,7
634,Krzysztof Błachut,11
635,Tomasz Błachuta,1
636,Monika Błądek,1
637,Renata Blajda,16
638,Mateusz Blajer,22
639,Łukasz Błajszczak,6
640,Ignacio Blanco,1
641,Janusz Blaschke,20
642,Zofia Blaschke,14
643,Jan Błasiak,1
644,Rafał Błasiak,1
645,Józef Błaszczak,4
646,Katarzyna Błaszczak,1
647,Krystyna Błaszczak,7
648,Aleksandra Błaszczyk,1
649,Alicja Błaszczyk,2
650,Bogna Błaszczyk,1
651,Piotr Błaszczyk,8
